driving_direction,location_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s,stratum,sat_gap_vs_star_pp
1,4,star,0.9969135802469136,1.2,2.0,2.3,2.0,highd_external,frequency,Upper bound,648,0.0,0.0,0.0,L4–D1,0.0
1,4,pi,0.7175925925925927,1.4,,,1.9,highd_external,frequency,Weak TTC,648,0.2793209876543209,,-0.1,L4–D1,27.93209876543209
1,4,pi_tuned,0.9876543209876544,1.2,2.05,2.5,2.05,highd_external,frequency,Strong TTC,648,0.0092592592592591,0.0499999999999998,0.0499999999999998,L4–D1,0.9259259259259099
1,4,pi_sd,0.9969135802469136,1.2,2.0,2.3,2.0,highd_external,frequency,Stopping-distance,648,0.0,0.0,0.0,L4–D1,0.0
1,4,rss_longitudinal,0.9969135802469136,1.2,2.0,2.3,2.0,highd_external,frequency,RSS longitudinal,648,0.0,0.0,0.0,L4–D1,0.0
1,4,star,0.9930456726725668,1.5,2.35,2.65,2.3,highd_external,severity,Upper bound,648,0.0,0.0,0.0,L4–D1,0.0
1,4,pi,0.6039087079507575,1.85,,,2.05,highd_external,severity,Weak TTC,648,0.3891369647218095,,-0.25,L4–D1,38.913696472180945
1,4,pi_tuned,0.9738051405110868,1.5,2.55,3.05,2.4,highd_external,severity,Strong TTC,648,0.0192405321614802,0.1999999999999997,0.1,L4–D1,1.92405321614802
1,4,pi_sd,0.9930456726725668,1.5,2.35,2.65,2.3,highd_external,severity,Stopping-distance,648,0.0,0.0,0.0,L4–D1,0.0
1,4,rss_longitudinal,0.9930456726725668,1.5,2.35,2.65,2.3,highd_external,severity,RSS longitudinal,648,0.0,0.0,0.0,L4–D1,0.0
2,4,star,1.0000000000000002,1.15,1.75,1.95,1.75,highd_external,frequency,Upper bound,555,0.0,0.0,0.0,L4–D2,0.0
2,4,pi,0.8504504504504504,1.25,,,1.8,highd_external,frequency,Weak TTC,555,0.1495495495495498,,0.05,L4–D2,14.95495495495498
2,4,pi_tuned,0.9909909909909912,1.15,1.75,2.0,1.75,highd_external,frequency,Strong TTC,555,0.0090090090090089,0.0,0.0,L4–D2,0.9009009009008899
2,4,pi_sd,1.0000000000000002,1.15,1.75,1.95,1.75,highd_external,frequency,Stopping-distance,555,0.0,0.0,0.0,L4–D2,0.0
2,4,rss_longitudinal,1.0000000000000002,1.15,1.75,1.95,1.75,highd_external,frequency,RSS longitudinal,555,0.0,0.0,0.0,L4–D2,0.0
2,4,star,1.0,1.4,2.0,2.25,2.0,highd_external,severity,Upper bound,555,0.0,0.0,0.0,L4–D2,0.0
