delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
0.5,0.04624599031757869,0.006297124865357528,0.03968845803297705,0.045961909496585115,0.04446989335132512,0.047986873098729926,0.005728667305848515,0.006901092527490736,0.038018891374596075,0.041239361765088835,0.04419764923120628,0.04767852704094316,0.03994886545222116,0.006557532284601646,0.00028408082099357773,0.03994886545222116,0.006557532284601646,0.03339133316761952,0.039664784631227586,0.03339133316761952
0.55,0.08129446160766071,0.015494241445024442,0.07318632150846915,0.08079732017092198,0.07842879632588803,0.08367393440100375,0.014510907519856063,0.016394718464069695,0.07067575725293844,0.07511688742113798,0.07786181835398837,0.08320046636601446,0.06580022016263627,0.008108140099191558,0.000497141436738735,0.06580022016263627,0.008108140099191558,0.057692080063444715,0.06530307872589754,0.057692080063444715
0.6,0.11674538072748365,0.028703999621225565,0.10748908064344308,0.11607068877762391,0.11343998200821469,0.11957553590663211,0.027259034361942637,0.03008948545861297,0.1043023448504433,0.11003426724903236,0.11257856610205606,0.11881917072073674,0.08804138110625809,0.009256300084040575,0.0006746919498597376,0.08804138110625809,0.009256300084040575,0.07878508102221751,0.08736668915639835,0.07878508102221751
0.65,0.16584401595587278,0.0495602665625037,0.15508445486074124,0.1647076926718985,0.1618870068534498,0.16938644461015825,0.047724986091876476,0.05124196583928127,0.15136595528094413,0.15806789531621745,0.16085484653717316,0.168160162399536,0.11628374939336908,0.010759561095131542,0.0011363232839742832,0.11628374939336908,0.010759561095131542,0.10552418829823754,0.1151474261093948,0.10552418829823754
0.7,0.21310796254867848,0.07259448646473254,0.20079779363895697,0.21155735473408854,0.208808280955932,0.21718008356710822,0.07029816649503448,0.07496212255720085,0.1965717955091557,0.20463702756767635,0.2072482037806423,0.21572505711208176,0.14051347608394593,0.012310168909721503,0.0015506078145899327,0.14051347608394593,0.012310168909721503,0.12820330717422443,0.138962868269356,0.12820330717422443
0.75,0.26972290283252254,0.10050542712735108,0.25518743415835143,0.26736739935845083,0.2646203970029473,0.27419835943325876,0.0978164246061338,0.10319472556609023,0.25021454020335454,0.25939035072144695,0.26233473006403657,0.27185706000023674,0.16921747570517146,0.014535468674171104,0.0023555034740717073,0.16921747570517146,0.014535468674171104,0.15468200703100035,0.16686197223109975,0.15468200703100035
0.8,0.313151758341915,0.1218351621036185,0.29676976433128566,0.30996768580661205,0.3078131103298889,0.3176769290863251,0.1189940579761609,0.12471236816874401,0.2916394422546548,0.3012256903755786,0.30467194583525686,0.3146203970029474,0.1913165962382965,0.01638199401062934,0.003184072535302951,0.1913165962382965,0.01638199401062934,0.17493460222766716,0.18813252370299355,0.17493460222766716
0.85,0.3647361007539979,0.14774570031840728,0.3459986032692968,0.36061692884959107,0.3593968609069281,0.3698202596972172,0.14464270918409625,0.15101322159487707,0.3408378016879136,0.35103482357397353,0.3554206171655837,0.3657428121633939,0.21699040043559065,0.018737497484701104,0.00411917190440686,0.21699040043559065,0.018737497484701104,0.19825290295088954,0.2128712285311838,0.19825290295088954
0.9,0.4102837257199674,0.17105216434075496,0.3896641927961839,0.4053123113525799,0.40529573997135526,0.41504858965709085,0.16790212232046683,0.17428387959707872,0.3849484511676906,0.3944468117846195,0.4003388255625393,0.4101413893919487,0.23923156137921245,0.02061953292378349,0.004971414367387517,0.23923156137921245,0.02061953292378349,0.21861202845542896,0.23426014701182493,0.21861202845542896
0.95,0.46424724500787146,0.1994010629357386,0.44123669850739206,0.45851828178450105,0.4592731673827871,0.469339985559225,0.19607317448480763,0.2027881348910432,0.43590781577358767,0.4461003988968195,0.45336842915142694,0.46346750233774847,0.26484618207213284,0.0230105465004794,0.005728963223370409,0.26484618207213284,0.0230105465004794,0.24183563557165347,0.2591172188487625,0.24183563557165347
1.0,0.5100907874957092,0.22522874424440423,0.4850443284447759,0.5034030515014856,0.5048527514411184,0.5154033947658109,0.22154545884970944,0.22886409100055635,0.4798897411313519,0.4904448232188725,0.49838014748529297,0.5086079447936273,0.28486204325130504,0.025046459050933334,0.006687735994223676,0.28486204325130504,0.025046459050933334,0.25981558420037165,0.27817430725708137,0.25981558420037165
