delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
0.5,0.020689774237471863,0.0029090218910971513,0.017765255643194235,0.02056396271493462,0.019800545573944565,0.021577290247843033,0.002604199860249771,0.0032056904392645125,0.016936427422966516,0.018527013269391556,0.019669420979444584,0.02143325563755233,0.01778075234637471,0.002924518594277628,0.00012581152253724262,0.01778075234637471,0.002924518594277628,0.014856233752097082,0.017654940823837468,0.014856233752097082
0.55,0.03662352097046803,0.007064162480809355,0.03297774711373855,0.03639036715263221,0.03518935689297831,0.03777408631823882,0.006575056143042061,0.007501047846622816,0.03172869458911374,0.03393596082340828,0.034979214594865415,0.03752723616843258,0.029559358489658676,0.003645773856729484,0.00023315381783581973,0.029559358489658676,0.003645773856729484,0.02591358463292919,0.029326204671822856,0.02591358463292919
0.6,0.05318555627235501,0.013201252960013562,0.049000159967282395,0.05286227104434919,0.051512715110771726,0.054805967020941,0.012507114205591642,0.01386836364758147,0.047355288026543214,0.05039100892414936,0.05118421554333079,0.054434858654851044,0.03998430331234144,0.004185396305072614,0.00032328522800581516,0.03998430331234144,0.004185396305072614,0.03579890700726883,0.03966101808433563,0.03579890700726883
0.65,0.07686083483522166,0.023141928673434946,0.07188073471754643,0.07628725214012758,0.07472828398321488,0.07885660221456635,0.02217667094326729,0.02395988713559198,0.06993400541913276,0.07373505083436781,0.07418324876180071,0.07825728462766082,0.05371890616178671,0.004980100117675232,0.0005735826950940826,0.05371890616178671,0.004980100117675232,0.04873880604411148,0.05314532346669263,0.04873880604411148
0.7,0.10033523937549481,0.03422117843206503,0.09450293064705718,0.09950936617907391,0.09777369815041341,0.1029132625339784,0.0329713541865173,0.03544394424099139,0.09208302815228403,0.09680795299535401,0.09696353009663733,0.10190929334876908,0.06611406094342978,0.005832308728437624,0.0008258731964208982,0.06611406094342978,0.005832308728437624,0.06028175221499216,0.06528818774700888,0.06028175221499216
0.75,0.13049392377049873,0.04836800567666915,0.12338253894042123,0.12914243234933556,0.12733256018171066,0.13341878229818022,0.046802481833210924,0.049979204909690135,0.12032484413060639,0.12601827180095315,0.1259616397645241,0.13202713809807146,0.08212591809382958,0.007111384830077505,0.0013514914211631701,0.08212591809382958,0.007111384830077505,0.07501453326375207,0.0807744266726664,0.07501453326375207
0.8,0.15551619220208374,0.06022374935846206,0.14715195777681453,0.15354951714080012,0.15201935160928418,0.15865656301514397,0.05848062716426107,0.062041931966106724,0.14387434973554125,0.15016379777191635,0.15012936997361537,0.15672641012975957,0.09529244284362168,0.008364234425269207,0.001966675061283618,0.09529244284362168,0.008364234425269207,0.08692820841835247,0.09332576778233806,0.08692820841835247
0.85,0.18862806029461962,0.07620779580689464,0.17861657529214836,0.1859153919586269,0.18467654244687418,0.19248027012450206,0.07415229430854549,0.07837330661383762,0.17495333630728896,0.18261203368795353,0.18203984070352516,0.18988314042026577,0.11242026448772498,0.01001148500247126,0.0027126683359927073,0.11242026448772498,0.01001148500247126,0.10240877948525372,0.10970759615173227,0.10240877948525372
0.9,0.22030247377245066,0.09147400188484037,0.2087800384690777,0.21681092441332026,0.21610515139363265,0.22439499507762348,0.0891676725033013,0.0938102928377757,0.20474867779752076,0.21290560795501468,0.21280454866907067,0.22085398176414892,0.1288284718876103,0.011522435303372963,0.0034915493591304025,0.1288284718876103,0.011522435303372963,0.11730603658423733,0.1253369225284799,0.11730603658423733
0.95,0.26133555860590296,0.11263374869372304,0.24787376719161341,0.2570269522946839,0.25691123537298477,0.2658487536815196,0.11005551523469355,0.11513810235782644,0.2435162991860173,0.2521402838900943,0.25266130853295193,0.26141688666927415,0.1487018099121799,0.013461791414289548,0.004308606311219043,0.1487018099121799,0.013461791414289548,0.13524001849789036,0.14439320360096086,0.13524001849789036
