delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
1.55,0.794128233048845,0.40703291532229285,0.7597441862993769,0.7754916268582138,0.7658478782347764,0.7901820559506286,0.7985679202046717,0.40392995675895393,0.41046834699942014,0.7560951715041886,0.7646027911278088,0.7716505382593556,0.7798703931698502,0.761908658828416,0.7701776535009783,0.3870953177265521,0.034384046749468045,0.018636606190631122,0.028280354814068542,0.3870953177265521,0.034384046749468045,0.35271127097708405,0.36845871153592097,0.35881496291248355,0.35271127097708405
1.6,0.8162129620100311,0.4173870002839262,0.7804913808588222,0.7954502783304814,0.7861515289848463,0.8125518865999468,0.8202616012386907,0.4142852188060681,0.42089665177291513,0.7769079314605135,0.7848440205038788,0.7918074242408697,0.7994955097827405,0.7823539315966774,0.7902944622665974,0.3988259617261049,0.035721581151208937,0.0207626836795497,0.030061433025184825,0.3988259617261049,0.035721581151208937,0.36310438057489597,0.3780632780465552,0.3687645287009201,0.36310438057489597
1.65,0.839693825091089,0.4269584579258225,0.8019593747887259,0.8164021816441185,0.8074600123072923,0.8356982624159753,0.8435351497595935,0.42383745818744595,0.43052210543603864,0.7981046655990536,0.8059505428659589,0.8126000229508589,0.8202093855011416,0.803767169928451,0.8113173469653188,0.41273536716526654,0.03773445030236311,0.023291643446970545,0.03223381278379678,0.41273536716526654,0.03773445030236311,0.37500091686290343,0.389443723718296,0.38050155438146976,0.37500091686290343
1.7,0.8573252420532391,0.43293368751604616,0.8185793105219213,0.831945196261586,0.8233547897012484,0.8531572723110873,0.8610556169301387,0.42966517191959386,0.43652416891025086,0.814769293532658,0.8222899510981557,0.8279601544865107,0.8356116089615943,0.8194342262569618,0.827151182220138,0.42439155453719296,0.03874593153131778,0.025380045791653094,0.0339704523519907,0.42439155453719296,0.03874593153131778,0.3856456230058752,0.39901150874553987,0.39042110218520226,0.3856456230058752
1.75,0.8750066552419374,0.4390379828987944,0.8344334140053219,0.8472493781093722,0.8393648350299269,0.8711818574712499,0.8785944200003313,0.4357991813881028,0.4424360321118088,0.8305119318752624,0.8380307146679911,0.8435383601896405,0.8508966956888897,0.8355920683635231,0.8430930691909383,0.435968672343143,0.04057324123661554,0.02775727713256526,0.035641820212010566,0.435968672343143,0.04057324123661554,0.3953954311065275,0.40821139521057775,0.40032685213113245,0.3953954311065275
1.8,0.8889227984266697,0.44317224067472993,0.8465124806525012,0.8591856573205091,0.8522570792812366,0.8850139892094949,0.8924218425660957,0.4399222525415671,0.44654337977703046,0.8428298899801435,0.8500603834291892,0.8555608211657479,0.8630261081293228,0.8485129812893347,0.8556763820509583,0.4457505577519397,0.04241031777416848,0.029737141106160547,0.03666571914543304,0.4457505577519397,0.04241031777416848,0.40334023997777124,0.4160134166457792,0.4090848386065067,0.40334023997777124
1.85,0.9016725444948319,0.44725959719719904,0.8584616889396529,0.8698341518620296,0.8637717315871671,0.8981000885581949,0.9053269021987845,0.4439759244728399,0.45069054393401237,0.8549538872331642,0.8619627765397415,0.866214036015899,0.8733601413503285,0.8601658697619743,0.8672614500393463,0.4544129472976329,0.043210855555179006,0.031838392632802304,0.03790081290766478,0.4544129472976329,0.043210855555179006,0.41120209174245387,0.42257455466483057,0.4165121343899681,0.41120209174245387
1.9,0.9117242108764387,0.4498779246503388,0.8669863402712119,0.8775972349750176,0.8723781001787344,0.9080267993117999,0.9152887047323841,0.4465851656717395,0.45329774222420194,0.8632862035767397,0.8704664798964155,0.8741009360076734,0.8809914245849086,0.8687488964348565,0.8757344536596006,0.4618462862260999,0.044737870605226826,0.03412697590142111,0.03934611069770433,0.4618462862260999,0.044737870605226826,0.4171084156208731,0.4277193103246788,0.4225001755283956,0.4171084156208731
1.95,0.9207836925047882,0.4525972267096237,0.8749398740750937,0.884852365933891,0.8803080720934301,0.9171966024073146,0.9244069243766034,0.4494423140443579,0.45597007195357997,0.8714595069060187,0.878502373620385,0.8812539223440433,0.8880960966161331,0.876539941027255,0.8835948282379539,0.4681864657951645,0.04584381842969454,0.03593132657089715,0.040475620411358104,0.4681864657951645,0.04584381842969454,0.42234264736546995,0.43225513922426734,0.4277108453838064,0.42234264736546995
2.0,0.9280030860457809,0.4545256711882846,0.8808014439506894,0.8902371379826779,0.8866726938450584,0.9243537412871845,0.9314045739764057,0.4512981878987042,0.45795225380140037,0.8774101058966939,0.8845468598738415,0.886807995552457,0.8935099249164561,0.8831121269694155,0.8898731308021626,0.4734774148574963,0.04720164209509148,0.03776594806310296,0.04133039220072243,0.4734774148574963,0.04720164209509148,0.4262757727624048,0.4357114667943933,0.43214702265677385,0.4262757727624048
