dataset,delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
us101,1.05,0.5630481872092611,0.256311920741451,0.5365931607542347,0.5559698400861712,0.558406129043713,0.5685416000852244,0.2529721955896453,0.2602215830403749,0.5319268373518933,0.5418016050566385,0.5511857415101263,0.5612635086348734,0.3067362664678101,0.0264550264550263,0.0070783471230898,0.3067362664678101,0.0264550264550263,0.2802812400127837,0.2996579193447202,0.2802812400127837
us101,1.1,0.6053880662381781,0.2818436845282483,0.5777020228921795,0.5978954345844727,0.601004344069221,0.6106447450966467,0.2783873678728265,0.2858347241456861,0.573150811405845,0.5829578139980824,0.5931678562551046,0.6031423481647196,0.3235443817099298,0.0276860433459985,0.0074926316537053,0.3235443817099298,0.0276860433459985,0.2958583383639312,0.3160517500562244,0.2958583383639312
us101,1.15,0.6542973142525715,0.3110211521844632,0.625368417314726,0.6463548879656262,0.6498813370737309,0.6597081661399334,0.3074674786643467,0.314870743226448,0.6209394197649232,0.6301649444266895,0.6419025129315957,0.6514127102493993,0.3432761620681083,0.0289288969378455,0.0079424262869453,0.3432761620681083,0.0289288969378455,0.3143472651302628,0.335333735781163,0.3143472651302628
us101,1.2,0.6919735331368442,0.3352982256785389,0.6620740267272707,0.6841021270551472,0.6876413006166922,0.6967230093628304,0.3319197353313685,0.339111122947812,0.6580095995644094,0.6664897079885895,0.6799080880177077,0.6883796148337537,0.3566753074583052,0.0298995064095735,0.007871406081697,0.3566753074583052,0.0298995064095735,0.3267758010487317,0.3488039013766082,0.3267758010487317
us101,1.25,0.7346921865937526,0.3620610063563084,0.7038812542168247,0.7259448646473255,0.7304073008770996,0.7390365517323011,0.3586162304842394,0.3658200466366015,0.6997017151379568,0.7081584460779091,0.721611744374608,0.7302241279310631,0.3726311802374441,0.0308109323769278,0.008747321946427,0.3726311802374441,0.0308109323769278,0.3418202478605162,0.3638838582910171,0.3418202478605162
us101,1.3,0.767385154409763,0.3834972716404484,0.7362072843057184,0.7573357953671153,0.7636610323970503,0.7716108566220423,0.3801439342826368,0.3872409242096044,0.7321934590390966,0.7404140477965981,0.7533894392954795,0.7615274670643798,0.3838878827693145,0.0311778701040446,0.0100493590426476,0.3838878827693145,0.0311778701040446,0.3527100126652699,0.3738385237266668,0.3527100126652699
us101,1.35,0.802694033119089,0.4044719055904738,0.7703798397310702,0.7915793709977156,0.7992010226909556,0.8066856645715706,0.4010969662535659,0.4083330374158115,0.766484085555674,0.7743930731626482,0.7879327793757325,0.7953437377934022,0.3982221275286152,0.0323141933880188,0.0111146621213734,0.3982221275286152,0.0323141933880188,0.3659079341405963,0.3871074654072417,0.3659079341405963
us101,1.4,0.8283915107181327,0.4207000224897317,0.7959234402187423,0.8162707290224069,0.8248461228886285,0.8321322041120698,0.4173961033580721,0.4245647053253317,0.7922747771741061,0.7997040824781317,0.812695749440716,0.8201072996934294,0.4076914882284009,0.0324680704993903,0.0121207816957257,0.4076914882284009,0.0324680704993903,0.3752234177290106,0.3955707065326752,0.3752234177290106
us101,1.45,0.8554028621142715,0.4365848750636223,0.8217156114247837,0.8419918800231999,0.8521670040126416,0.8583898535800102,0.4332336091284638,0.4406806694838015,0.8185664571570612,0.8252905910064746,0.8388300013020371,0.8452135340837802,0.4188179870506492,0.0336872506894878,0.0134109820910716,0.4188179870506492,0.0336872506894878,0.3851307363611613,0.4054070049595776,0.3851307363611613
us101,1.5,0.876022395038055,0.4483268823313566,0.8421812672371957,0.8616289667743806,0.8731661991169821,0.8790919474923949,0.4448587289750601,0.452530094811974,0.8389610927642247,0.8453437377934022,0.8587739545233953,0.8648852431850196,0.4276955127066983,0.0338411278008593,0.0143934282636744,0.4276955127066983,0.0338411278008593,0.393854384905839,0.4133020844430239,0.393854384905839
us101,1.55,0.896002746114603,0.4591693003326113,0.8625759028443593,0.8802599339512092,0.8932442029757466,0.898584330575382,0.4558668607885611,0.463371920978185,0.8597105334801085,0.8654886190121089,0.8774644011221192,0.8831128747795414,0.4368334457819916,0.0334268432702437,0.0157428121633937,0.4368334457819916,0.0334268432702437,0.4034066025117479,0.4210906336185978,0.4034066025117479
us101,1.6,0.910715765301895,0.4665080548749453,0.8766615768852906,0.8936354059396565,0.908336292508552,0.9130600239101356,0.4630721565285324,0.470710675520519,0.8741379922587977,0.8797758128854326,0.8911121172306855,0.8962054496170827,0.4442077104269497,0.0340541884166044,0.0170803593622385,0.4442077104269497,0.0340541884166044,0.4101535220103453,0.4271273510647112,0.4101535220103453
us101,1.65,0.925476131292686,0.4729590568516744,0.890830107832345,0.9070582247316028,0.9230957707467774,0.9275845436359976,0.4695465359894891,0.476950392386634,0.8883071150408958,0.8936247529088692,0.9045106707858386,0.9093551365363446,0.4525170744410117,0.0346460234603411,0.0184179065610833,0.4525170744410117,0.0346460234603411,0.4178710509806705,0.4340991678799284,0.4178710509806705
us101,1.7,0.9369222210385522,0.4770190452517075,0.9014002817134809,0.91735615449262,0.9348265331486808,0.9391010617520684,0.473703585336695,0.4810219215700201,0.8990199211675721,0.9038777032065622,0.9149405797616088,0.9194518423824912,0.4599031757868446,0.0355219393250713,0.0195660665459322,0.4599031757868446,0.0355219393250713,0.4243812364617733,0.4403371092409123,0.4243812364617733
us101,1.75,0.9478593326468048,0.4812447474639869,0.9116271912692494,0.9271095960133992,0.9459767053726784,0.949730419137578,0.4779979404140478,0.4854707455937881,0.9094368097723804,0.9140185007634672,0.9247896026419516,0.9290750801936484,0.4666145851828177,0.0362321413775552,0.0207497366334055,0.4666145851828177,0.0362321413775552,0.4303824438052624,0.4458648485494122,0.4303824438052624
