dataset,delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
us101,1.05,0.3461246792334266,0.1601180691881872,0.3293830383761368,0.3402600878555345,0.3408181615921076,0.3517043468024639,0.1571655397190706,0.1638622792698753,0.3243658631247657,0.3345359575954454,0.3350822500434807,0.3456785852253945,0.1860066100452393,0.0167416408572897,0.005864591377892,0.1860066100452393,0.0167416408572897,0.1692649691879495,0.1801420186673472,0.1692649691879495
us101,1.1,0.3877740965112919,0.1847201992345863,0.3696005649465833,0.3811302405944268,0.3824250870394153,0.3934931882209845,0.1815752781976674,0.1888079961568353,0.3646279703931548,0.3751430525330225,0.3758094507824448,0.3869703769379687,0.2030538972767055,0.0181735315647086,0.0066438559168651,0.2030538972767055,0.0181735315647086,0.1848803657119969,0.1964100413598404,0.1848803657119969
us101,1.15,0.4390479640621255,0.2140780839609976,0.4194319661455949,0.4315016049740351,0.433149206546098,0.4448192624274518,0.2102129334314803,0.2179289589720364,0.4137278989387905,0.4251677149738821,0.4257601156666871,0.4373205887616495,0.2249698801011279,0.0196159979165306,0.0075463590880904,0.2249698801011279,0.0196159979165306,0.2053538821845973,0.2174235210130375,0.2053538821845973
us101,1.2,0.4815451262986502,0.2407242917665526,0.4605959612477603,0.4736602372951278,0.4754637798600948,0.4876294014641103,0.2368813103256965,0.2449328604229011,0.4546429291653546,0.4665162832846575,0.4677209449687351,0.4798954696839612,0.2408208345320976,0.0209491650508899,0.0078848890035224,0.2408208345320976,0.0209491650508899,0.2198716694812076,0.2329359455285751,0.2198716694812076
us101,1.25,0.5331412399818184,0.2712772413162002,0.5104576338821076,0.5239580631160411,0.5268950435648364,0.5395389992990393,0.2668297542257324,0.2753523580061475,0.5042282811610849,0.516824717104157,0.517565533585203,0.5303608949740254,0.2618639986656182,0.0226836060997107,0.0091831768657772,0.2618639986656182,0.0226836060997107,0.2391803925659074,0.2526808217998409,0.2391803925659074
us101,1.3,0.5758067275212628,0.2976929090970012,0.55218125542318,0.5654412716546144,0.569333629155776,0.5825509958629961,0.2931967036528609,0.3019995286765314,0.5460662898658962,0.5588188483820383,0.5589329406330563,0.5721112480095362,0.2781138184242616,0.0236254720980828,0.0103654558666483,0.2781138184242616,0.0236254720980828,0.2544883463261788,0.2677483625576132,0.2544883463261788
us101,1.35,0.6238676123844419,0.324851207852743,0.5982332839577515,0.6126199778799115,0.6174664203890059,0.630263982048925,0.3201818275120465,0.3294757586957192,0.5916315181733298,0.6046987113807333,0.606083139738004,0.6189713553283732,0.2990164045316988,0.0256343284266903,0.0112476345045303,0.2990164045316988,0.0256343284266903,0.2733820761050085,0.2877687700271685,0.2733820761050085
us101,1.4,0.6609455138268102,0.3466485274686565,0.6343624460086791,0.6486009273429058,0.6544537344596472,0.6676710958060041,0.3417221224194774,0.351403624107496,0.6281609393002648,0.6409486703862581,0.6423008365026145,0.6551289965868411,0.3142969863581537,0.0265830678181311,0.0123445864839044,0.3142969863581537,0.0265830678181311,0.2877139185400226,0.3019523998742492,0.2877139185400226
us101,1.45,0.7016434679475345,0.3684464815386754,0.6721902518786544,0.6877948450434498,0.6955053032438693,0.7077187723153654,0.3637693984566471,0.3730850902822101,0.6661062430752398,0.6785208410407703,0.6815287548745358,0.6937847350705718,0.3331969864088591,0.02945321606888,0.0138486229040847,0.3331969864088591,0.02945321606888,0.303743770339979,0.3193483635047743,0.303743770339979
us101,1.5,0.7353516111915995,0.3855949666731175,0.704683757464198,0.7203349598061269,0.729255407712771,0.7411757908400161,0.3808689896215521,0.3903057473257137,0.698762414110061,0.7106996369984491,0.7141361902927178,0.7263479208436373,0.349756644518482,0.0306678537274015,0.0150166513854725,0.349756644518482,0.0306678537274015,0.3190887907910804,0.3347399931330094,0.3190887907910804
us101,1.55,0.7685492459284077,0.401629049954147,0.7377720167308872,0.7520139217411411,0.7623156227528929,0.7745700416967639,0.3969810439818221,0.4066308011833252,0.7313539508976441,0.7433602597214248,0.7456466252654356,0.7581269153981163,0.3669201959742606,0.0307772291975204,0.0165353241872665,0.3669201959742606,0.0307772291975204,0.3361429667767401,0.350384871786994,0.3361429667767401
us101,1.6,0.7942135328961857,0.4130501090441277,0.761256640273609,0.7759579143783174,0.7879646305086586,0.800221158045691,0.407975217473615,0.4179758410906719,0.7553201072214519,0.7672681054568385,0.7700582127381094,0.782240291319983,0.3811634238520579,0.0329568926225767,0.0182556185178682,0.3811634238520579,0.0329568926225767,0.3482065312294812,0.3629078053341896,0.3482065312294812
us101,1.65,0.8217659024111437,0.4228309715507813,0.7861530148797247,0.8016753284762796,0.815854160939297,0.8272148742370294,0.4178541125272607,0.427782170711627,0.7802289601909611,0.7918032460273468,0.7959273239126464,0.8075581309564627,0.3989349308603623,0.035612887531419,0.020090573934864,0.3989349308603623,0.035612887531419,0.3633220433289433,0.3788443569254983,0.3633220433289433
us101,1.7,0.8437574483939035,0.4287942770117524,0.8058413675014636,0.8217963338601915,0.8379658981403744,0.8496134957550645,0.4240250928751025,0.4338779517044512,0.8002205403735146,0.8114399892820888,0.8160887590498264,0.8275347671339524,0.4149631713821511,0.0379160808924399,0.021961114533712,0.4149631713821511,0.0379160808924399,0.3770470904897112,0.393002056848439,0.3770470904897112
us101,1.75,0.8655397055250256,0.435274116767376,0.8250987718477999,0.8418162521874966,0.8600996694708827,0.8705924839579511,0.4306659133874916,0.4404287360746385,0.8194530119661354,0.8306200744344072,0.8361367692749555,0.8472469087797713,0.4302655887576495,0.0404409336772256,0.023723453337529,0.4302655887576495,0.0404409336772256,0.3898246550804238,0.4065421354201205,0.3898246550804238
