delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
0.5,0.04180030068484393,0.005400692599338351,0.032117218761898526,0.041194387103853564,0.04059316126600965,0.04285180008187159,0.005090674343039275,0.005735268752792693,0.03121241367490426,0.0330596939485578,0.04004514338218206,0.04223904568069853,0.03639960808550558,0.009683081922945404,0.0006059135809903665,0.03639960808550558,0.009683081922945404,0.026716526162560175,0.035793694504515215,0.026716526162560175
0.55,0.06837643523814316,0.012788899127948148,0.05617385407010797,0.06758628878824213,0.06684049569432213,0.07000212486368988,0.012307699288179786,0.013290641552754043,0.05475814672619801,0.057564224521540655,0.0659942954900434,0.06920003319041719,0.05558753611019501,0.012202581168035187,0.0007901464499010247,0.05558753611019501,0.012202581168035187,0.043384954942159826,0.05479738966029399,0.043384954942159826
0.6,0.09473215027172494,0.022039440060355978,0.08060535481151371,0.09374296251545038,0.09267183382376762,0.0968018702625925,0.02134972648708463,0.022781798909352103,0.07885345704872987,0.0824402990407728,0.09169221971477749,0.09579386373138221,0.07269271021136896,0.014126795460211228,0.0009891877562745593,0.07269271021136896,0.014126795460211228,0.05856591475115773,0.0717035224550944,0.05856591475115773
0.65,0.13014516053120148,0.035849464117758,0.11394399860673966,0.12876005029467624,0.12767697991419363,0.13272222124343264,0.03497442852774096,0.0368374439288013,0.11168951567196801,0.11619359357626298,0.1262775847531754,0.1312825781004944,0.09429569641344349,0.016201161924461818,0.0013851102365252388,0.09429569641344349,0.016201161924461818,0.07809453448898165,0.09291058617691825,0.07809453448898165
0.7,0.162469213010525,0.04895525697432665,0.14443868275471863,0.16058518888849074,0.1596708484023033,0.1654365800811016,0.04779680594680059,0.050268991748781786,0.14179692790318094,0.14740578056944387,0.15768685976011237,0.16360454972902574,0.11351395603619835,0.018030530255806365,0.0018840241220342557,0.11351395603619835,0.018030530255806365,0.09548342578039198,0.1116299319141641,0.09548342578039198
0.75,0.2018475904115548,0.06569291057305826,0.18196301817237048,0.19938487728459847,0.1984858264456367,0.2052696659912163,0.06440171103784383,0.06734575588332899,0.17897823538308832,0.18545791963956781,0.19621628998374693,0.202868020539556,0.13615467983849655,0.019884572239184328,0.0024627131269563396,0.13615467983849655,0.019884572239184328,0.11627010759931222,0.1336919667115402,0.11627010759931222
0.8,0.23526450491292245,0.08019236681299079,0.21371287537276049,0.23217564468056134,0.23176687231044024,0.23866534801080092,0.07863886422676138,0.08212246606352547,0.21047072752448656,0.217097467385497,0.22864499260880994,0.23562927721307794,0.15507213809993164,0.02155162954016196,0.0030888602323611014,0.15507213809993164,0.02155162954016196,0.1335205085597697,0.15198327786757054,0.1335205085597697
0.85,0.27761368111239637,0.09971769237267634,0.2542025221424235,0.27361353104766606,0.27369648579427663,0.2816929917757061,0.09775035966065025,0.10187750000008429,0.2503843006765764,0.25812447143507167,0.2697174106311019,0.277546621625072,0.17789598873972,0.023411158969972867,0.004000150064730312,0.17789598873972,0.023411158969972867,0.15448482976974715,0.1738958386749897,0.15448482976974715
0.9,0.31429511201175614,0.11782816357075818,0.28942498268480316,0.30973264338865825,0.3100778260696719,0.3186458935702983,0.11580928155672067,0.12003260820106566,0.2855402550719403,0.29357222935204935,0.3057530740547772,0.31403973402612934,0.19646694844099796,0.024870129326952983,0.004562468623097893,0.19646694844099796,0.024870129326952983,0.17159681911404498,0.19190447981790007,0.17159681911404498
0.95,0.3608086093246819,0.1416637516733651,0.33432207413061216,0.3553633985181605,0.3560413668574035,0.3655780056694931,0.13935461783621955,0.1440677995510309,0.3300513889918483,0.33915364508164003,0.35085477673422727,0.3602654613603192,0.2191448576513168,0.026486535194069738,0.005445210806521383,0.2191448576513168,0.026486535194069738,0.19265832245724707,0.21369964684479542,0.19265832245724707
1.0,0.4001341799395266,0.16348554664791065,0.3725401407069994,0.39412519271867336,0.3949717165388069,0.4052745672452472,0.16095666523557972,0.16610741389468792,0.36794368949100603,0.3774993357386787,0.38904866748100286,0.3991844468609504,0.23664863329161595,0.02759403923252718,0.006008987220853246,0.23664863329161595,0.02759403923252718,0.20905459405908877,0.2306396460707627,0.20905459405908877
1.05,0.44762414367679415,0.19072238761983504,0.4188766532299159,0.4409957486277675,0.4424076005053756,0.4529008408373735,0.18784798786615964,0.19350837044288544,0.41400398854929754,0.42386307875630674,0.43585174650713604,0.44614684178762265,0.2569017560569591,0.028747490446878243,0.006628395049026625,0.2569017560569591,0.028747490446878243,0.22815426561008087,0.2502733610079325,0.22815426561008087
1.1,0.4900242929417979,0.21537607547455045,0.46027263365280574,0.483397579136727,0.484305016031461,0.4954888097210645,0.21220785333640926,0.21826639109153387,0.45480374121693123,0.46528172383865085,0.4777724121416809,0.4887491421927408,0.27464821746724744,0.02975165928899215,0.006626713805070905,0.27464821746724744,0.02975165928899215,0.24489655817825529,0.26802150366217653,0.24489655817825529
1.15,0.5385428898344754,0.24522839201772262,0.5079081637350268,0.5316670844473653,0.5327611491779902,0.5442473797892692,0.24205592369167556,0.24849255069785675,0.5024601668399586,0.513434463177945,0.5260306543316755,0.5372552664895168,0.2933144978167528,0.030634726099448617,0.006875805387110079,0.2933144978167528,0.030634726099448617,0.26267977171730417,0.2864386924296427,0.26267977171730417
1.2,0.5787982706787489,0.2703435875069517,0.5471861223170562,0.5715520777074882,0.5728680253787188,0.5848980713811874,0.2669163597426531,0.2736892862251747,0.54150875365811,0.552965151557517,0.565713023850745,0.5774873056648625,0.3084546831717972,0.03161214836169268,0.007246192971260723,0.3084546831717972,0.03161214836169268,0.2768425348101045,0.30120849020053647,0.2768425348101045
1.25,0.6236285343146082,0.29907672977602406,0.5917061826849505,0.6161292040002639,0.6174684295110499,0.629739677906577,0.29553631938648234,0.3028646254163157,0.5860417391187526,0.597446744228187,0.6099783341994374,0.6222134133439339,0.3245518045385841,0.03192235162965773,0.007499330314344244,0.3245518045385841,0.03192235162965773,0.2926294529089264,0.3170524742242399,0.2926294529089264
