delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
0.5,0.08146647070176216,0.010399501180243168,0.06261227155985091,0.0802862275271307,0.07931698065588856,0.0833238691191971,0.009805111417924842,0.011002056146914288,0.0609339509196989,0.06428279814130254,0.07818090381389267,0.08215179114891843,0.07106696952151899,0.01885419914191125,0.0011802431746314596,0.07106696952151899,0.01885419914191125,0.05221277037960775,0.06988672634688753,0.05221277037960775
0.55,0.13249157499369046,0.02466634005849254,0.10884959693582144,0.13098472364494715,0.12959366973975261,0.1351938864888136,0.02382588072863313,0.025609606734066703,0.1065535043572499,0.111107647085022,0.12819964666933886,0.13352521563562397,0.10782523493519793,0.023641978057869023,0.0015068513487433155,0.10782523493519793,0.023641978057869023,0.0841832568773289,0.10631838358645461,0.0841832568773289
0.6,0.18240324232841928,0.042347718938820327,0.15522795765970387,0.18055493697946814,0.1790848290503124,0.18563387965973357,0.04117415638593207,0.043557653765643765,0.15253251235915014,0.15809654240710216,0.17729460799596183,0.18386091687821962,0.14005552338959895,0.02717528466871541,0.0018483053489511403,0.14005552338959895,0.02717528466871541,0.11288023872088354,0.1382072180406478,0.11288023872088354
0.65,0.24755415015068502,0.06828337712852028,0.21665998604492337,0.2450229368013182,0.2436836577146334,0.25119972832138227,0.06664235662643445,0.06987317953057494,0.2135932095191436,0.21977835181638672,0.241183435027242,0.24858667735566134,0.17927077302216474,0.03089416410576165,0.0025312133493668176,0.17927077302216474,0.03089416410576165,0.14837660891640309,0.17673955967279792,0.14837660891640309
0.7,0.3046660431419705,0.09172493653409339,0.2708249825561542,0.30134800100951603,0.30075954957763607,0.3086977983639898,0.08984582609599306,0.09387201413322638,0.26731375911162564,0.27465761813566103,0.2973064104277081,0.30533447646194256,0.2129411066078771,0.03384106058581626,0.0033180421324544573,0.2129411066078771,0.03384106058581626,0.17910004602206084,0.20962306447542264,0.17910004602206084
0.75,0.37089327335619576,0.12046645585593604,0.3340978933772768,0.36674386496236566,0.36679842337326846,0.3749311524814797,0.11853594174497835,0.12300620555530807,0.3302676702445106,0.3382710550928605,0.36248886563042787,0.37091257293012053,0.25042681750025975,0.03679537997891896,0.004149408393830101,0.25042681750025975,0.03679537997891896,0.21363143752134076,0.24627740910642962,0.21363143752134076
0.8,0.42378152882317116,0.14388574652236516,0.3845440104514614,0.41885271455930145,0.4194285470389998,0.42796805178224123,0.14170266779494936,0.1461506628661351,0.38083199720898453,0.3886655829213615,0.41465598509479046,0.42294626553244535,0.27989578230080603,0.039237518371709745,0.0049288142638697074,0.27989578230080603,0.039237518371709745,0.24065826392909626,0.2749669680369363,0.24065826392909626
0.85,0.48502056146914274,0.17297614275746365,0.44319244644368216,0.47896346442197757,0.4808626167253075,0.48943051411095756,0.17067392627562752,0.17562946302647,0.43957748778930783,0.44752854110066936,0.4749020175477663,0.4832438872311048,0.3120444187116791,0.04182811502546058,0.006057097047165172,0.3120444187116791,0.04182811502546058,0.2702163036862185,0.3059873216645139,0.2702163036862185
0.9,0.5347466559776717,0.19829569916417988,0.4911593105598359,0.5281922237562907,0.5308041612850546,0.5389968304161282,0.19587527279205444,0.20096089609406306,0.48771971822622057,0.4954800026722485,0.5241244674059886,0.5324028711827667,0.3364509568134918,0.043587345417835766,0.006554432221380968,0.3364509568134918,0.043587345417835766,0.29286361139565603,0.32989652459211083,0.29286361139565603
0.95,0.5909974910553896,0.2280170430083581,0.5456806068973706,0.5837824195727369,0.5870687287519112,0.5950132870143557,0.22557787378078645,0.2307857895752608,0.5419234994581271,0.5498005092118349,0.5798629359105685,0.5879097448002493,0.36298044804703145,0.04531688415801893,0.007215071482652657,0.36298044804703145,0.04531688415801893,0.3176635638890125,0.3557653765643788,0.3176635638890125
