dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
us101,severity,rss_longitudinal,RSS longitudinal,delta_rel90_penalty_vs_star_s,0.0,-0.050000000000000044,0.0,400
i80,frequency,star,Upper bound,saturation,0.9944921985183881,0.9938760967354026,0.9950494737154647,400
i80,frequency,star,Upper bound,delta_abs_q50_s,0.9,0.9,0.9,400
i80,frequency,star,Upper bound,delta_abs_q90_s,1.45,1.45,1.45,400
i80,frequency,star,Upper bound,delta_abs_q95_s,1.65,1.65,1.65,400
i80,frequency,star,Upper bound,delta_rel_q90_s,1.45,1.4,1.45,400
i80,frequency,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
i80,frequency,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
i80,frequency,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
i80,frequency,pi,Weak TTC,saturation,0.4936088718656757,0.49056454965186524,0.49704976320907357,400
i80,frequency,pi,Weak TTC,delta_abs_q50_s,,,,400
i80,frequency,pi,Weak TTC,delta_abs_q90_s,,,,400
i80,frequency,pi,Weak TTC,delta_abs_q95_s,,,,400
i80,frequency,pi,Weak TTC,delta_rel_q90_s,1.55,1.55,1.55,400
i80,frequency,pi,Weak TTC,sat_gap_vs_star,0.5008833266527124,0.4973570718092608,0.5039356284980477,400
i80,frequency,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
i80,frequency,pi,Weak TTC,delta_rel90_penalty_vs_star_s,0.10000000000000009,0.10000000000000009,0.15000000000000013,400
i80,frequency,pi_tuned,Strong TTC,saturation,0.9459834617497305,0.9444591665553227,0.9474754672723761,400
i80,frequency,pi_tuned,Strong TTC,delta_abs_q50_s,0.95,0.95,0.95,400
i80,frequency,pi_tuned,Strong TTC,delta_abs_q90_s,1.65,1.65,1.65,400
i80,frequency,pi_tuned,Strong TTC,delta_abs_q95_s,,,,400
i80,frequency,pi_tuned,Strong TTC,delta_rel_q90_s,1.45,1.45,1.45,400
i80,frequency,pi_tuned,Strong TTC,sat_gap_vs_star,0.048508736768657634,0.04712065202868221,0.049853026321649604,400
i80,frequency,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.19999999999999996,0.19999999999999996,0.19999999999999996,400
i80,frequency,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,0.0,0.0,0.050000000000000044,400
i80,frequency,pi_sd,Stopping-distance,saturation,0.9610519752371636,0.9598713609168779,0.9622999524933562,400
i80,frequency,pi_sd,Stopping-distance,delta_abs_q50_s,0.9,0.9,0.9,400
i80,frequency,pi_sd,Stopping-distance,delta_abs_q90_s,1.5,1.5,1.5,400
