recording_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
09,star,1.0,1.4,2.2,2.5,2.2,highd_external,severity,Upper bound,354,0.0,0.0,0.0
09,pi,0.6943339472148065,1.55,,,1.95,highd_external,severity,Weak TTC,354,0.30566605278519354,,-0.2500000000000002
09,pi_tuned,0.9809294114576161,1.4,2.3,2.85,2.2,highd_external,severity,Strong TTC,354,0.01907058854238386,0.09999999999999964,0.0
09,pi_sd,1.0,1.4,2.2,2.5,2.2,highd_external,severity,Stopping-distance,354,0.0,0.0,0.0
09,rss_longitudinal,1.0,1.4,2.2,2.5,2.2,highd_external,severity,RSS longitudinal,354,0.0,0.0,0.0
10,star,1.0,1.2,2.05,2.4,2.05,highd_external,frequency,Upper bound,213,0.0,0.0,0.0
10,pi,0.7183098591549297,1.4,,,1.85,highd_external,frequency,Weak TTC,213,0.28169014084507027,,-0.19999999999999973
10,pi_tuned,0.9953051643192488,1.2,2.15,2.55,2.15,highd_external,frequency,Strong TTC,213,0.0046948356807512415,0.10000000000000009,0.10000000000000009
10,pi_sd,1.0,1.2,2.05,2.4,2.05,highd_external,frequency,Stopping-distance,213,0.0,0.0,0.0
10,rss_longitudinal,1.0,1.2,2.05,2.4,2.05,highd_external,frequency,RSS longitudinal,213,0.0,0.0,0.0
10,star,0.9999999999999999,1.5,2.4,2.7,2.4,highd_external,severity,Upper bound,213,0.0,0.0,0.0
10,pi,0.580994152624912,1.9,,,2.2,highd_external,severity,Weak TTC,213,0.41900584737508784,,-0.19999999999999973
10,pi_tuned,0.9897970040572158,1.55,2.55,2.95,2.55,highd_external,severity,Strong TTC,213,0.010202995942784066,0.1499999999999999,0.1499999999999999
10,pi_sd,0.9999999999999999,1.5,2.4,2.7,2.4,highd_external,severity,Stopping-distance,213,0.0,0.0,0.0
10,rss_longitudinal,0.9999999999999999,1.5,2.4,2.7,2.4,highd_external,severity,RSS longitudinal,213,0.0,0.0,0.0
11,star,1.0000000000000002,1.1,1.9,2.3,1.9,highd_external,frequency,Upper bound,246,0.0,0.0,0.0
11,pi,0.5772357723577239,1.7,,,1.75,highd_external,frequency,Weak TTC,246,0.4227642276422763,,-0.1499999999999999
11,pi_tuned,0.9268292682926833,1.1,2.15,,1.75,highd_external,frequency,Strong TTC,246,0.07317073170731692,0.25,-0.1499999999999999
11,pi_sd,1.0000000000000002,1.1,1.95,2.3,1.95,highd_external,frequency,Stopping-distance,246,0.0,0.050000000000000044,0.050000000000000044
11,rss_longitudinal,1.0000000000000002,1.1,1.95,2.3,1.95,highd_external,frequency,RSS longitudinal,246,0.0,0.050000000000000044,0.050000000000000044
11,star,1.0,1.5,2.3,2.45,2.3,highd_external,severity,Upper bound,246,0.0,0.0,0.0
11,pi,0.43581926245469993,,,,1.85,highd_external,severity,Weak TTC,246,0.5641807375453001,,-0.44999999999999973
11,pi_tuned,0.838793609477178,1.55,,,1.95,highd_external,severity,Strong TTC,246,0.16120639052282204,,-0.34999999999999987
11,pi_sd,1.0,1.55,2.3,2.5,2.3,highd_external,severity,Stopping-distance,246,0.0,0.0,0.0
11,rss_longitudinal,1.0,1.55,2.3,2.5,2.3,highd_external,severity,RSS longitudinal,246,0.0,0.0,0.0
12,star,0.9652777777777779,1.15,2.05,2.8,1.95,highd_external,frequency,Upper bound,576,0.0,0.0,0.0
12,pi,0.5295138888888891,1.95,,,1.7,highd_external,frequency,Weak TTC,576,0.43576388888888884,,-0.25
12,pi_tuned,0.8940972222222225,1.15,,,1.75,highd_external,frequency,Strong TTC,576,0.07118055555555536,,-0.19999999999999996
12,pi_sd,0.9635416666666669,1.15,2.05,2.85,1.95,highd_external,frequency,Stopping-distance,576,0.0017361111111110494,0.0,0.0
12,rss_longitudinal,0.9583333333333335,1.15,2.1,3.05,1.95,highd_external,frequency,RSS longitudinal,576,0.00694444444444442,0.050000000000000266,0.0
12,star,0.9010909648830425,1.5,4.1,,2.3,highd_external,severity,Upper bound,576,0.0,0.0,0.0
12,pi,0.3850334414248155,,,,1.8,highd_external,severity,Weak TTC,576,0.516057523458227,,-0.4999999999999998
12,pi_tuned,0.755894386030024,1.5,,,2.05,highd_external,severity,Strong TTC,576,0.1451965788530185,,-0.25
12,pi_sd,0.8957109978427704,1.5,,,2.3,highd_external,severity,Stopping-distance,576,0.0053799670402721045,,0.0
12,rss_longitudinal,0.8897503029873274,1.5,,,2.3,highd_external,severity,RSS longitudinal,576,0.011340661895715143,,0.0
13,star,1.0,1.0,1.55,1.75,1.55,highd_external,frequency,Upper bound,471,0.0,0.0,0.0
13,pi,0.751592356687898,1.2,,,1.7,highd_external,frequency,Weak TTC,471,0.24840764331210197,,0.1499999999999999
13,pi_tuned,0.9957537154989384,1.0,1.55,1.8,1.55,highd_external,frequency,Strong TTC,471,0.00424628450106157,0.0,0.0
13,pi_sd,1.0,1.0,1.55,1.75,1.55,highd_external,frequency,Stopping-distance,471,0.0,0.0,0.0
13,rss_longitudinal,1.0,1.0,1.55,1.75,1.55,highd_external,frequency,RSS longitudinal,471,0.0,0.0,0.0
13,star,1.0,1.25,1.85,2.0,1.85,highd_external,severity,Upper bound,471,0.0,0.0,0.0
13,pi,0.704963116005944,1.4,,,1.75,highd_external,severity,Weak TTC,471,0.29503688399405603,,-0.10000000000000009
13,pi_tuned,0.9894761786889701,1.25,1.95,2.1,1.9,highd_external,severity,Strong TTC,471,0.010523821311029913,0.09999999999999987,0.04999999999999982
13,pi_sd,1.0,1.25,1.85,2.0,1.85,highd_external,severity,Stopping-distance,471,0.0,0.0,0.0
13,rss_longitudinal,1.0,1.25,1.85,2.0,1.85,highd_external,severity,RSS longitudinal,471,0.0,0.0,0.0
14,star,1.0,1.05,1.5,1.75,1.5,highd_external,frequency,Upper bound,384,0.0,0.0,0.0
14,pi,0.7161458333333333,1.25,,,1.65,highd_external,frequency,Weak TTC,384,0.28385416666666674,,0.1499999999999999
14,pi_tuned,0.9869791666666667,1.05,1.55,1.85,1.5,highd_external,frequency,Strong TTC,384,0.01302083333333326,0.050000000000000044,0.0
14,pi_sd,1.0,1.05,1.5,1.8,1.5,highd_external,frequency,Stopping-distance,384,0.0,0.0,0.0
14,rss_longitudinal,1.0,1.05,1.5,1.8,1.5,highd_external,frequency,RSS longitudinal,384,0.0,0.0,0.0
14,star,1.0,1.15,1.8,2.0,1.8,highd_external,severity,Upper bound,384,0.0,0.0,0.0
14,pi,0.6485889854397835,1.45,,,1.7,highd_external,severity,Weak TTC,384,0.3514110145602165,,-0.10000000000000009
14,pi_tuned,0.9701072747900478,1.2,1.85,2.15,1.7,highd_external,severity,Strong TTC,384,0.02989272520995223,0.050000000000000044,-0.10000000000000009
14,pi_sd,1.0,1.2,1.8,2.0,1.8,highd_external,severity,Stopping-distance,384,0.0,0.0,0.0
14,rss_longitudinal,1.0,1.2,1.8,2.0,1.8,highd_external,severity,RSS longitudinal,384,0.0,0.0,0.0
15,star,0.9958847736625507,1.3,2.05,2.35,2.05,highd_external,frequency,Upper bound,243,0.0,0.0,0.0
15,pi,0.6543209876543206,1.55,,,1.75,highd_external,frequency,Weak TTC,243,0.3415637860082301,,-0.2999999999999998
15,pi_tuned,0.9753086419753079,1.3,2.25,2.6,2.1,highd_external,frequency,Strong TTC,243,0.020576131687242816,0.20000000000000018,0.050000000000000266
15,pi_sd,0.9958847736625507,1.3,2.05,2.35,2.05,highd_external,frequency,Stopping-distance,243,0.0,0.0,0.0
15,rss_longitudinal,0.9958847736625507,1.3,2.05,2.35,2.05,highd_external,frequency,RSS longitudinal,243,0.0,0.0,0.0
15,star,0.9942847874626483,1.55,2.35,2.55,2.35,highd_external,severity,Upper bound,243,0.0,0.0,0.0
15,pi,0.5321447897609692,1.9,,,1.85,highd_external,severity,Weak TTC,243,0.462139997701679,,-0.5
15,pi_tuned,0.9646096900186586,1.55,2.55,3.35,2.4,highd_external,severity,Strong TTC,243,0.029675097443989662,0.19999999999999973,0.04999999999999982
15,pi_sd,0.9942847874626483,1.55,2.35,2.55,2.35,highd_external,severity,Stopping-distance,243,0.0,0.0,0.0
15,rss_longitudinal,0.9942847874626483,1.55,2.35,2.55,2.35,highd_external,severity,RSS longitudinal,243,0.0,0.0,0.0
16,star,0.989010989010989,1.35,2.05,2.55,2.05,highd_external,frequency,Upper bound,273,0.0,0.0,0.0
16,pi,0.6373626373626373,1.65,,,1.95,highd_external,frequency,Weak TTC,273,0.35164835164835173,,-0.09999999999999987
16,pi_tuned,0.9633699633699633,1.35,2.15,3.6,2.05,highd_external,frequency,Strong TTC,273,0.025641025641025772,0.10000000000000009,0.0
16,pi_sd,0.9853479853479854,1.35,2.1,2.65,2.05,highd_external,frequency,Stopping-distance,273,0.00366300366300365,0.050000000000000266,0.0
16,rss_longitudinal,0.989010989010989,1.35,2.1,2.65,2.05,highd_external,frequency,RSS longitudinal,273,0.0,0.050000000000000266,0.0
16,star,0.9775730972211518,1.6,2.5,2.9,2.5,highd_external,severity,Upper bound,273,0.0,0.0,0.0
