driving_direction,location_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
2,4,star,1.0000000000000002,1.15,1.75,1.95,1.75,highd_external,frequency,Upper bound,555,0.0,0.0,0.0
2,4,pi,0.8504504504504504,1.25,,,1.8,highd_external,frequency,Weak TTC,555,0.1495495495495498,,0.050000000000000044
2,4,pi_tuned,0.9909909909909913,1.15,1.75,2.0,1.75,highd_external,frequency,Strong TTC,555,0.009009009009008917,0.0,0.0
2,4,pi_sd,1.0000000000000002,1.15,1.75,1.95,1.75,highd_external,frequency,Stopping-distance,555,0.0,0.0,0.0
2,4,rss_longitudinal,1.0000000000000002,1.15,1.75,1.95,1.75,highd_external,frequency,RSS longitudinal,555,0.0,0.0,0.0
2,4,star,1.0,1.4,2.0,2.25,2.0,highd_external,severity,Upper bound,555,0.0,0.0,0.0
2,4,pi,0.7541290273578346,1.55,,,1.95,highd_external,severity,Weak TTC,555,0.2458709726421654,,-0.050000000000000044
2,4,pi_tuned,0.978326856528247,1.4,2.05,2.3,1.95,highd_external,severity,Strong TTC,555,0.021673143471752976,0.04999999999999982,-0.050000000000000044
2,4,pi_sd,1.0,1.4,2.0,2.25,2.0,highd_external,severity,Stopping-distance,555,0.0,0.0,0.0
2,4,rss_longitudinal,1.0,1.4,2.0,2.25,2.0,highd_external,severity,RSS longitudinal,555,0.0,0.0,0.0
1,5,star,0.9958932238193022,1.4,2.2,2.5,2.2,highd_external,frequency,Upper bound,1461,0.0,0.0,0.0
1,5,pi,0.561259411362081,1.95,,,1.95,highd_external,frequency,Weak TTC,1461,0.4346338124572212,,-0.2500000000000002
1,5,pi_tuned,0.9664613278576322,1.4,2.35,3.05,2.2,highd_external,frequency,Strong TTC,1461,0.029431895961670063,0.1499999999999999,0.0
1,5,pi_sd,0.9958932238193022,1.4,2.2,2.5,2.2,highd_external,frequency,Stopping-distance,1461,0.0,0.0,0.0
1,5,rss_longitudinal,0.9958932238193022,1.4,2.2,2.5,2.2,highd_external,frequency,RSS longitudinal,1461,0.0,0.0,0.0
1,5,star,0.9926605816605384,1.7,2.45,2.85,2.45,highd_external,severity,Upper bound,1461,0.0,0.0,0.0
1,5,pi,0.46682541456059673,,,,2.1,highd_external,severity,Weak TTC,1461,0.5258351670999417,,-0.3500000000000001
1,5,pi_tuned,0.9435037132748926,1.7,2.85,,2.45,highd_external,severity,Strong TTC,1461,0.04915686838564581,0.3999999999999999,0.0
1,5,pi_sd,0.9926605816605384,1.7,2.5,2.85,2.45,highd_external,severity,Stopping-distance,1461,0.0,0.04999999999999982,0.0
1,5,rss_longitudinal,0.9926605816605384,1.7,2.5,2.85,2.45,highd_external,severity,RSS longitudinal,1461,0.0,0.04999999999999982,0.0
2,5,star,0.9988925802879289,1.1,1.75,2.0,1.75,highd_external,frequency,Upper bound,903,0.0,0.0,0.0
2,5,pi,0.8128460686600221,1.2,,,1.7,highd_external,frequency,Weak TTC,903,0.18604651162790686,,-0.050000000000000044
2,5,pi_tuned,0.9800664451827241,1.1,1.8,2.15,1.75,highd_external,frequency,Strong TTC,903,0.01882613510520481,0.050000000000000044,0.0
2,5,pi_sd,0.9977851605758581,1.1,1.8,2.0,1.75,highd_external,frequency,Stopping-distance,903,0.001107419712070845,0.050000000000000044,0.0
2,5,rss_longitudinal,0.9988925802879289,1.1,1.8,2.0,1.8,highd_external,frequency,RSS longitudinal,903,0.0,0.050000000000000044,0.050000000000000044
2,5,star,0.9980829635353193,1.35,2.05,2.35,2.05,highd_external,severity,Upper bound,903,0.0,0.0,0.0
2,5,pi,0.7254636484002545,1.45,,,1.8,highd_external,severity,Weak TTC,903,0.2726193151350649,,-0.24999999999999978
2,5,pi_tuned,0.9608592354538183,1.35,2.25,2.75,2.05,highd_external,severity,Strong TTC,903,0.037223728081500984,0.20000000000000018,0.0
2,5,pi_sd,0.9958498413362309,1.35,2.05,2.4,2.05,highd_external,severity,Stopping-distance,903,0.0022331221990884442,0.0,0.0
2,5,rss_longitudinal,0.9980829635353193,1.35,2.05,2.4,2.05,highd_external,severity,RSS longitudinal,903,0.0,0.0,0.0
1,6,star,1.0000000000000002,1.2,1.9,2.2,1.9,highd_external,frequency,Upper bound,357,0.0,0.0,0.0
1,6,pi,0.7114845938375352,1.45,,,1.95,highd_external,frequency,Weak TTC,357,0.28851540616246507,,0.050000000000000044
1,6,pi_tuned,0.997198879551821,1.2,2.0,2.25,1.95,highd_external,frequency,Strong TTC,357,0.0028011204481792618,0.10000000000000009,0.050000000000000044
1,6,pi_sd,1.0000000000000002,1.2,1.9,2.2,1.9,highd_external,frequency,Stopping-distance,357,0.0,0.0,0.0
1,6,rss_longitudinal,1.0000000000000002,1.2,1.9,2.2,1.9,highd_external,frequency,RSS longitudinal,357,0.0,0.0,0.0
1,6,star,1.0,1.45,2.2,2.45,2.2,highd_external,severity,Upper bound,357,0.0,0.0,0.0
1,6,pi,0.615778986570529,1.85,,,2.0,highd_external,severity,Weak TTC,357,0.384221013429471,,-0.20000000000000018
1,6,pi_tuned,0.9940331310281306,1.45,2.3,2.85,2.3,highd_external,severity,Strong TTC,357,0.005966868971869377,0.09999999999999964,0.09999999999999964
1,6,pi_sd,1.0,1.45,2.2,2.45,2.2,highd_external,severity,Stopping-distance,357,0.0,0.0,0.0
1,6,rss_longitudinal,1.0,1.45,2.2,2.45,2.2,highd_external,severity,RSS longitudinal,357,0.0,0.0,0.0
2,6,star,1.0000000000000002,1.1,1.7,2.0,1.7,highd_external,frequency,Upper bound,204,0.0,0.0,0.0
2,6,pi,0.862745098039216,1.15,,,1.8,highd_external,frequency,Weak TTC,204,0.13725490196078427,,0.10000000000000009
2,6,pi_tuned,1.0000000000000002,1.1,1.7,2.1,1.7,highd_external,frequency,Strong TTC,204,0.0,0.0,0.0
2,6,pi_sd,1.0000000000000002,1.1,1.7,2.0,1.7,highd_external,frequency,Stopping-distance,204,0.0,0.0,0.0
2,6,rss_longitudinal,1.0000000000000002,1.1,1.7,2.0,1.7,highd_external,frequency,RSS longitudinal,204,0.0,0.0,0.0
2,6,star,1.0000000000000002,1.3,2.15,2.4,2.15,highd_external,severity,Upper bound,204,0.0,0.0,0.0
2,6,pi,0.7666289993106465,1.4,,,1.95,highd_external,severity,Weak TTC,204,0.23337100068935368,,-0.19999999999999996
2,6,pi_tuned,1.0000000000000002,1.3,2.15,2.65,2.15,highd_external,severity,Strong TTC,204,0.0,0.0,0.0
2,6,pi_sd,1.0000000000000002,1.3,2.15,2.4,2.15,highd_external,severity,Stopping-distance,204,0.0,0.0,0.0
2,6,rss_longitudinal,1.0000000000000002,1.3,2.15,2.4,2.15,highd_external,severity,RSS longitudinal,204,0.0,0.0,0.0
