delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
1.55,0.8194843600316553,0.5615394227164816,0.8086550876754555,0.8168186929901291,0.815235953184223,0.8119444791536512,0.8260652255404228,0.5524490815944023,0.5693719022033407,0.8009486026073561,0.8153723603648636,0.8093548252738562,0.8236130201174564,0.807902244991462,0.8219865467116503,0.25794493731517365,0.010829272356199793,0.002665667041526154,0.004248406847432218,0.25794493731517365,0.010829272356199793,0.24711566495897386,0.2552792702736475,0.25369653046774143,0.24711566495897386
1.6,0.8378941230371949,0.5739930859261113,0.8266899912532805,0.8350618518055735,0.8334374609521434,0.8308124036819532,0.843852305385481,0.5650787204798203,0.5818745053938109,0.8191490690990882,0.8331042525719526,0.8279363988504316,0.8411855970677667,0.8261891374068063,0.8396476321379488,0.2639010371110836,0.01120413178391444,0.0028322712316214416,0.004456662085051466,0.2639010371110836,0.01120413178391444,0.25269690532716915,0.26106876587946215,0.2594443750260321,0.25269690532716915
1.65,0.8574284643258783,0.5870715148485988,0.845682868924154,0.8552209588071145,0.853471614811113,0.8502634428755889,0.8633449956266405,0.5783643633637389,0.5946124370027909,0.8384772377025287,0.8517722520721401,0.8485442958890421,0.8611801824315886,0.8466814527885381,0.8593069265692037,0.2703569494772795,0.011745595401724263,0.002207505518763808,0.0039568495147652705,0.2703569494772795,0.011745595401724263,0.25861135407555524,0.2681494439585157,0.26640009996251424,0.25861135407555524
1.7,0.8717980757216048,0.5964846515889877,0.8596359698446421,0.8695072681077933,0.8676746220167442,0.8660419009538095,0.8776302636511312,0.5883137573409973,0.6044879003706946,0.8532998042400771,0.8659679703444546,0.8635490857595073,0.8755487525511271,0.8617560081636058,0.8735526260985468,0.27531342413261717,0.012162105876962759,0.0022908076138115074,0.004123453704860669,0.27531342413261717,0.012162105876962759,0.2631513182556544,0.27302261651880566,0.2711899704277565,0.2631513182556544
1.75,0.8867924528301891,0.6066891582323298,0.8739639301928448,0.8842933899787584,0.8824190928401854,0.8810862593194223,0.8921664792369532,0.5987744179266111,0.6141884293389982,0.8681723520346541,0.8800043733599904,0.8789537256862014,0.8898787954517061,0.8769961264525807,0.8880107459702616,0.2801032945978593,0.012828522637344353,0.0024990628514307556,0.004373359990003767,0.2801032945978593,0.012828522637344353,0.26727477196051497,0.27760423174642856,0.27572993460785555,0.26727477196051497
1.8,0.898413095089342,0.614727810404432,0.8840851347411391,0.8957474280478159,0.8937898288141951,0.892910991711442,0.90387250614353,0.6066381356991131,0.6222291640634765,0.8785445041442798,0.890083926860761,0.8901651464034325,0.9010850097879965,0.8881638135699117,0.8995439210296143,0.28368528468490994,0.014327960348202828,0.002665667041526043,0.0046232662751468645,0.28368528468490994,0.014327960348202828,0.2693573243367071,0.2810196176433839,0.2790620184097631,0.2693573243367071
1.85,0.9105752009663048,0.6239326919072018,0.8956641259527682,0.9073264192594448,0.9052855179307764,0.9054500395684956,0.9155743679453542,0.6158482235828233,0.6312736890332795,0.8903702778124873,0.9010850097879965,0.9023699446041072,0.9123276687908706,0.9003675704943984,0.9106178932900167,0.28664250905910305,0.014911075013536612,0.003248781706860049,0.0052896830355284585,0.28664250905910305,0.014911075013536612,0.27173143404556643,0.283393727352243,0.2813528260235746,0.27173143404556643
1.9,0.9203215460868845,0.6308467657961601,0.904077637552585,0.9175309259027868,0.9152817693364993,0.9152817693364993,0.9246636677912454,0.6227924944812365,0.6378566370944233,0.8987452621933446,0.9095766171019205,0.9125671623141327,0.9222801865966933,0.9104023491190809,0.9201132908492653,0.2894747802907245,0.016243908534299578,0.002790620184097703,0.00503977675038525,0.2894747802907245,0.016243908534299578,0.2732308717564249,0.2866841601066268,0.28443500354033924,0.2732308717564249
1.95,0.9300262401599405,0.6374276313049276,0.9136573784830693,0.9270690157857475,0.924778208171936,0.9255664542463248,0.9339841309508938,0.629177600066642,0.6449258611354078,0.9087425548752556,0.9181671456537136,0.9224009746345125,0.9310695989004129,0.9200705985255534,0.9287360989628893,0.2925986088550129,0.016368861676871238,0.0029572243741929904,0.005248031988004498,0.2925986088550129,0.016368861676871238,0.27622974717814164,0.2896413844808199,0.2873505768670084,0.27622974717814164
2.0,0.9388146111874718,0.6420925486275983,0.9204048481819322,0.9357324336707072,0.9333166729143243,0.9346078553875634,0.9423143404556629,0.6339237369319841,0.6492200841351163,0.9159471448206927,0.9248219417718361,0.9315642050897585,0.9392321629388983,0.9290630596859516,0.9370246574201345,0.29672206255987343,0.018409763005539537,0.0030821775167645393,0.005497938273147485,0.29672206255987343,0.018409763005539537,0.2783122995543339,0.2936398850431089,0.29122412428672595,0.2783122995543339
