delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
1.55,0.6416930558826037,0.4381441169186505,0.6311707098751538,0.6394002313630887,0.6388485637931717,0.6291629016311366,0.6522627375191798,0.426937618043354,0.4476417531298356,0.6195284052998251,0.6412192914598855,0.6267179478024326,0.6502059874894229,0.6262500201319938,0.6497077144890158,0.2035489389639532,0.010522346007449945,0.0022928245195150687,0.002844492089432049,0.2035489389639532,0.010522346007449945,0.19302659295650326,0.20125611444443814,0.20070444687452116,0.19302659295650326
1.6,0.6705435650137868,0.456098302541067,0.658966633832386,0.6679295244421912,0.6673454944956437,0.659024552482811,0.6813209080674596,0.44620814602541425,0.4657180353445239,0.647768125550456,0.6692180267970332,0.6563706050740227,0.6786141036157972,0.65583498382849,0.6781293379662999,0.21444526247271978,0.011576931181400796,0.002614040571595533,0.003198070518143026,0.21444526247271978,0.011576931181400796,0.20286833129131898,0.21183122190112424,0.21124719195457675,0.20286833129131898
1.65,0.7025152720258724,0.47463011458482895,0.6893453507881147,0.7008401224622055,0.7001773385139499,0.6906477974162157,0.713020567059067,0.46392567798346895,0.48445779634135533,0.677679128649986,0.7002632129866542,0.6888324101445791,0.7111937809461027,0.688096406945921,0.7106409373779154,0.22788515744104343,0.013169921237757731,0.0016751495636668778,0.002337933511922463,0.22788515744104343,0.013169921237757731,0.2147152362032857,0.22621000787737655,0.22554722392912097,0.2147152362032857
1.7,0.7270659503599084,0.48828634799940596,0.7131004953062376,0.7251610362522888,0.7244436399767208,0.7146146027065926,0.7383318213783179,0.4779885124672029,0.49875985044351223,0.7007244423289128,0.7243533612049446,0.7131509833688228,0.7365638055738655,0.7124193413453208,0.7357198569407488,0.23877960236050244,0.01396545505367075,0.0019049141076196152,0.0026223103831876093,0.23877960236050244,0.01396545505367075,0.2248141473068317,0.23687468825288283,0.23615729197731483,0.2248141473068317
1.75,0.7531833007378833,0.5037973504465693,0.7373768189775621,0.7508700619304248,0.7501307032532993,0.7416826608835888,0.7640521803889828,0.4928064146109903,0.5134971242623234,0.7253386237971281,0.7486289048265194,0.739175298686565,0.7618976732684203,0.7384342918109207,0.7611879219798617,0.24938595029131405,0.015806481760321178,0.002313238807458484,0.0030525974845839743,0.24938595029131405,0.015806481760321178,0.23357946853099287,0.24707271148385557,0.24633335280673008,0.23357946853099287
1.8,0.7745541136500224,0.5157867433186507,0.7560738423108768,0.7720984186259247,0.7712828597102622,0.7633338090385658,0.7855338947344195,0.5049789728289846,0.5258736257936233,0.7451754765871056,0.7670350984570781,0.7609328972010928,0.7827888750741349,0.7601866954381306,0.7820882039100231,0.25876737033137165,0.018480271339145538,0.002455695024097704,0.0032712539397601326,0.25876737033137165,0.018480271339145538,0.2402870989922261,0.25631167530727395,0.2554961163916115,0.2402870989922261
1.85,0.7971214294719434,0.5279923370127568,0.7773264810478643,0.7941088333217008,0.7931955292432182,0.7857206140563595,0.8074422130107567,0.5174505259364484,0.5377420193692753,0.7661548021014649,0.7877873157003102,0.7828320336908122,0.804212918282532,0.7821376391957977,0.8030546136022629,0.2691290924591866,0.01979494842407914,0.00301259615024263,0.003925900228725188,0.2691290924591866,0.01979494842407914,0.24933414403510745,0.26611649630894396,0.2652031922304614,0.24933414403510745
1.9,0.8164811260972209,0.5375445713303527,0.7933290098158655,0.8141029620991012,0.8129907564593709,0.8046802695637353,0.8262122179996109,0.5263031966331996,0.5473832973305223,0.7825974431285609,0.8038094695605331,0.8024769217341476,0.8239931279966893,0.8012603810469668,0.8228688065170267,0.2789365547668682,0.023152116281355384,0.0023781639981197422,0.003490369637849988,0.2789365547668682,0.023152116281355384,0.2557844384855128,0.27655839076874844,0.2754461851290182,0.2557844384855128
1.95,0.8366820163415645,0.5469884145787942,0.8121465245376477,0.8338769403853312,0.8327281203471201,0.826212736134138,0.8453936548683084,0.5359332536164023,0.557110582733436,0.8010537182095593,0.8210139475089646,0.8233763937126369,0.8424578394488212,0.8220194149265785,0.8413748921103948,0.28969360176277026,0.024535491803916787,0.0028050759562332495,0.003953895994444401,0.28969360176277026,0.024535491803916787,0.26515810995885347,0.286888525806537,0.28573970576832586,0.26515810995885347
2.0,0.8551075659228675,0.5540914905770313,0.8256836696895178,0.8521457292483328,0.8507750868435527,0.8451946833808428,0.863123020122403,0.5433786536208524,0.5647389022249945,0.8150899079980386,0.8347131276395856,0.8424128801096734,0.8599230951005314,0.8411053095148026,0.8585739888767895,0.3010160753458362,0.029423896233349733,0.002961836674534757,0.004332479079314777,0.3010160753458362,0.029423896233349733,0.27159217911248645,0.29805423867130143,0.2966835962665214,0.27159217911248645
