dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
i80,severity,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
i80,severity,pi,Weak TTC,saturation,0.4706277660996734,0.4664766170763668,0.4750232306503209,400
i80,severity,pi,Weak TTC,delta_abs_q50_s,,,,400
i80,severity,pi,Weak TTC,delta_abs_q90_s,,,,400
i80,severity,pi,Weak TTC,delta_abs_q95_s,,,,400
i80,severity,pi,Weak TTC,delta_rel_q90_s,1.65,1.65,1.65,400
i80,severity,pi,Weak TTC,sat_gap_vs_star,0.5003686704126253,0.4958104570861543,0.5046894267655763,400
i80,severity,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
i80,severity,pi,Weak TTC,delta_rel90_penalty_vs_star_s,-0.1,-0.1,-0.1,400
i80,severity,pi_tuned,Strong TTC,saturation,0.910867423562483,0.9071762310101572,0.914786197749336,400
i80,severity,pi_tuned,Strong TTC,delta_abs_q50_s,1.15,1.15,1.15,400
i80,severity,pi_tuned,Strong TTC,delta_abs_q90_s,2.3,2.2,2.45,400
i80,severity,pi_tuned,Strong TTC,delta_abs_q95_s,,,,400
i80,severity,pi_tuned,Strong TTC,delta_rel_q90_s,1.7,1.7,1.7,400
i80,severity,pi_tuned,Strong TTC,sat_gap_vs_star,0.0601290129498157,0.0573413715303587,0.0625067360607712,400
i80,severity,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.4499999999999997,0.3500000000000001,0.5500000000000003,400
i80,severity,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,-0.05,-0.05,-0.05,400
i80,severity,pi_sd,Stopping-distance,saturation,0.91128902367563,0.9077800063996664,0.9150773127616412,400
i80,severity,pi_sd,Stopping-distance,delta_abs_q50_s,1.15,1.15,1.15,400
i80,severity,pi_sd,Stopping-distance,delta_abs_q90_s,2.25,2.15,2.35,400
i80,severity,pi_sd,Stopping-distance,delta_abs_q95_s,,,,400
i80,severity,pi_sd,Stopping-distance,delta_rel_q90_s,1.65,1.65,1.65,400
i80,severity,pi_sd,Stopping-distance,sat_gap_vs_star,0.0597074128366688,0.0574262392675956,0.0620247124591853,400
i80,severity,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.3999999999999999,0.2999999999999998,0.5,400
i80,severity,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,-0.1,-0.1,-0.1,400
